,洪水概率
洪水概率,1.0
基础设施恶化,0.1987450955156698
人口得分,0.19334916064825403
海岸脆弱性,0.19270901379735791
季风强度,0.19255838599934783
无效防灾,0.19212419855545484
地形排水,0.18867894725644513
河流管理,0.1885910165096645
大坝质量,0.1876369286124073
湿地损失,0.18688183352111384
森林砍伐,0.18669990003278575
农业实践,0.1851697902811005
政策因素,0.18418012079932675
淤积,0.18354115361471937
城市化,0.18294719938642956
流域,0.1798666964026491
排水系统,0.17796991032509452
气候变化,0.1757022735183998
规划不足,0.17541883477803097
滑坡,0.17033756077630724
侵蚀,0.1648608604500903
